文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI,公開番号,公告番号,登録番号,審判番号,その他,ステージ,イベント詳細,文献URL
特開2023-020995,特願2022-117766,2022/07/25,2023/02/09,自動運転車両の検出方法、装置、電子機器及び読み取り可能な記憶媒体,ベイジン　バイドゥ　ネットコム　サイエンス　テクノロジー　カンパニー　リミテッド,"B60R22/48,B60W60/00,B60N2/90,A47C7/62@Z,B60R22/48,105",特開2023-020995,,特許7405335,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-020995/11/ja
特開2023-019619,特願2021-124502,2021/07/29,2023/02/09,操舵制御装置及び電動パワーステアリング装置,トヨタ自動車株式会社,"B62D6/00,B62D113:00",特開2023-019619,,特許7543997,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-019619/11/ja
特開2023-019343,特願2021-123997,2021/07/29,2023/02/09,行先設定支援装置、行先設定支援方法及び行先設定支援プログラム,株式会社ＪＶＣケンウッド,"G06Q50/30,G06Q50/40",特開2023-019343,,,,,（出願の）却下・拒絶,出願のみなし取下げ,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-019343/11/ja
特開2023-019247,特願2021-123833,2021/07/29,2023/02/09,エージェント装置,株式会社ＳＵＢＡＲＵ,"G08G1/16@C,B60R16/02,640@K",特開2023-019247,,特許7717519,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-019247/11/ja
特開2023-018693,特願2021-122849,2021/07/28,2023/02/09,車両の制御装置,株式会社ＳＵＢＡＲＵ,"B60W50/12,B60W40/08,B60W40/02,G08G1/16@C",特開2023-018693,,,,,審査中,特許査定,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-018693/11/ja
特開2023-018369,特願2021-122446,2021/07/27,2023/02/08,作業範囲表示システム,コベルコ建機株式会社,"E02F9/26@A,H04N7/18@D",特開2023-018369,,,,,審査中,手続補正,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-018369/11/ja
特開2023-017945,特願2022-179474,2022/11/09,2023/02/07,自動運転のためのデータパイプラインおよび深層学習システム,テスラ，インコーポレイテッド,"G06V10/82,G06T7/00,350@C,G06V20/56,G06T7/00,650@Z,B60W60/00,B60W40/02,G06V10/30",特開2023-017945,,特許7500687,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-017945/11/ja
特開2023-017688,特願2022-051040,2022/03/28,2023/02/07,田畑の除草システム、田畑用散布材の散布システム、田畑植付けシステム及び水田用肥料散布システム,北川　昌昭,"A01B69/00,303@Z,A01B69/00,303@B,A01B39/18@C",特開2023-017688,,特許7270309,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-017688/11/ja
特開2023-017383,特願2021-121630,2021/07/26,2023/02/07,車両制御システム、車両制御方法、及び車両制御プログラム,トヨタ自動車株式会社,"G08G1/09@F,G08G1/09@V,G05D1/02@H,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/622,G05D1/628,G05D105:00,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:63",特開2023-017383,,特許7472869,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-017383/11/ja
特開2023-017304,特願2021-121475,2021/07/26,2023/02/07,車両システム,トヨタ自動車株式会社,"B62D6/00,B60T8/1755@Z,B60T8/96,B60T17/18,B62D113:00",特開2023-017304,,特許7388408,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-017304/11/ja
特開2023-017224,特願2021-121327,2021/07/26,2023/02/07,車両用空調装置,トヨタ自動車株式会社,"B60H1/22,651@C",特開2023-017224,,,,,（出願の）却下・拒絶,出願のみなし取下げ,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-017224/11/ja
特表2024-528880,特願2024-504924,2022/06/22,2023/02/02,車道における車両の所定の制限速度の検証方法及び運転者の支援方法,メルセデス・ベンツ　グループ　アクチェンゲゼルシャフト,"B60W40/105,G08G1/16@A,B60W30/12,B60W40/06,B60W30/16",特表2024-528880,,特許7679541,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-528880/11/ja
特表2024-527636,特願2024-526019,2022/03/18,2023/02/02,動的環境におけるコネクテッド自動運転車両のための大域的マルチ車両意思決定システム,三菱電機株式会社,"G08G1/00@C,G08G1/09@F",特表2024-527636,,特許7651071,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-527636/11/ja
特開2023-016851,特願2022-185590,2022/11/21,2023/02/02,情報処理装置、情報処理システム、情報処理方法及びプログラム,パイオニア株式会社,"G08G1/00@A,G16Y10/40,G16Y40/20",特開2023-016851,,,,,（出願の）却下・拒絶,出願の拒絶・却下,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-016851/11/ja
特開2023-016763,特願2022-116212,2022/07/21,2023/02/02,自動運転自動車を動作させるための方法,ローベルト　ボツシユ　ゲゼルシヤフト　ミツト　ベシユレンクテル　ハフツング,"B60W30/182,B60W50/10,B60W50/14,B60W60/00,B60W40/02,G08G1/16@C",特開2023-016763,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-016763/11/ja
特開2023-016404,特願2021-120685,2021/07/21,2023/02/02,情報処理装置、方法、及び、車両,トヨタ自動車株式会社,"G08G1/16@A,G16Y10/40,G16Y20/20,G16Y40/10",特開2023-016404,,特許7643226,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-016404/11/ja
特開2023-016360,特願2021-120619,2021/07/21,2023/02/02,二酸化炭素回収システム,トヨタ自動車株式会社,"B60W20/12,B60W20/15,B60W10/06,900,B60W10/26,900",特開2023-016360,,特許7524857,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-016360/11/ja
特開2023-016320,特願2021-120554,2021/07/21,2023/02/02,走行経路提示システム、車両、サーバおよび走行経路の提示方法,トヨタ自動車株式会社,"G01C21/34,G01C21/26,G08G1/00",特開2023-016320,,特許7608996,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-016320/11/ja
特開2023-016198,特願2021-120359,2021/07/21,2023/02/02,車両の制御装置及び車両の制御システム,トヨタ自動車株式会社,"G01C21/34,B60L15/20@J,B60L53/12,B60M7/00@X,B60L5/00@B,G08G1/0969,H02J50/10,H02J7/00@P,H02J7/00,301@D,G16Y10/40,G16Y20/20,G16Y40/60",特開2023-016198,,特許7509096,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-016198/11/ja
特開2023-015703,特願2021-119630,2021/07/20,2023/02/01,給水装置,株式会社川本製作所,"F04B49/10,311,F04B49/02,311",特開2023-015703,,,,,（出願の）却下・拒絶,出願のみなし取下げ,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-015703/11/ja
